"Badakhshan, Afghanistan"
"Badghis, Afghanistan"
"Farah, Afghanistan"
"Faryab, Afghanistan"
"Helmand, Afghanistan"
"Herat, Afghanistan"
"Kabul, Afghanistan"
"Kunduz, Afghanistan"
"Or?zg?n, Afghanistan"
"Paktia, Afghanistan"
"Panjshir, Afghanistan"
"Vel?yat-e Khowst, Afghanistan"
"Vel?yat-e N?rest?n, Afghanistan"
"Wil?yat-e Baghl?n, Afghanistan"
"Wil?yat-e Balkh, Afghanistan"
"Wil?yat-e B?my?n, Afghanistan"
"Wil?yat-e D?ykund?, Afghanistan"
"Wil?yat-e Ghazn?, Afghanistan"
"Wil?yat-e Gh?r, Afghanistan"
"Wil?yat-e Jowzj?n, Afghanistan"
"Wil?yat-e Kandah?r, Afghanistan"
"Wil?yat-e Kuna?, Afghanistan"
"Wil?yat-e K?p?s?, Afghanistan"
"Wil?yat-e Laghm?n, Afghanistan"
"Wil?yat-e L?gar, Afghanistan"
"Wil?yat-e Nangarh?r, Afghanistan"
"Wil?yat-e N?mr?z, Afghanistan"
"Wil?yat-e Pakt?k?, Afghanistan"
"Wil?yat-e Parw?n, Afghanistan"
"Wil?yat-e Samang?n, Afghanistan"
"Wil?yat-e Sar-e Pul, Afghanistan"
"Wil?yat-e Takh?r, Afghanistan"
"Wil?yat-e Wardak, Afghanistan"
"Zabul, Afghanistan"
"Aragatsotni Marz, Armenia"
"Ararati Marz, Armenia"
"Armaviri Marz, Armenia"
"Geghark’unik’i Marz, Armenia"
"Kotayk’i Marz, Armenia"
"Lorru Marz, Armenia"
"Shiraki Marz, Armenia"
"Syunik’i Marz, Armenia"
"Tavushi Marz, Armenia"
"Vayots’ Dzori Marz, Armenia"
"Yerevan, Armenia"
"Absheron Rayon, Azerbaijan"
"Aghdam Rayon, Azerbaijan"
"Aghdash Rayon, Azerbaijan"
"Aghjabadi Rayon, Azerbaijan"
"Aghstafa Rayon, Azerbaijan"
"Aghsu Rayon, Azerbaijan"
"Ali Bajramly, Azerbaijan"
"Astara Rayon, Azerbaijan"
"Baku City, Azerbaijan"
"Balakan Rayon, Azerbaijan"
"Barda Rayon, Azerbaijan"
"Beylagan Rayon, Azerbaijan"
"Bilasuvar Rayon, Azerbaijan"
"C?bray?l Rayonu, Azerbaijan"
"Dashkasan Rayon, Azerbaijan"
"Davachi Rayon, Azerbaijan"
"Fizuli Rayon, Azerbaijan"
"Gadabay Rayon, Azerbaijan"
"Ganja City, Azerbaijan"
"Gobustan Rayon, Azerbaijan"
"Goranboy Rayon, Azerbaijan"
"Goychay Rayon, Azerbaijan"
"Goygol Rayon, Azerbaijan"
"Hajigabul Rayon, Azerbaijan"
"Imishli Rayon, Azerbaijan"
"Ismayilli Rayon, Azerbaijan"
"Jalilabad Rayon, Azerbaijan"
"Khachmaz Rayon, Azerbaijan"
"Khizi Rayon, Azerbaijan"
"Kurdamir Rayon, Azerbaijan"
"K?lb?c?r Rayonu, Azerbaijan"
"Lankaran Rayon, Azerbaijan"
"Laç?n Rayonu, Azerbaijan"
"Lerik Rayon, Azerbaijan"
"L?nk?ran ??h?ri, Azerbaijan"
"Masally Rayon, Azerbaijan"
"Mingacevir City, Azerbaijan"
"Naftalan City, Azerbaijan"
"Nakhichevan, Azerbaijan"
"Neftchala Rayon, Azerbaijan"
"Oghuz Rayon, Azerbaijan"
"Qabala Rayon, Azerbaijan"
"Qakh Rayon, Azerbaijan"
"Qazakh Rayon, Azerbaijan"
"Quba Rayon, Azerbaijan"
"Qubadli Rayon, Azerbaijan"
"Qusar Rayon, Azerbaijan"
"Saatly Rayon, Azerbaijan"
"Sabirabad Rayon, Azerbaijan"
"Salyan Rayon, Azerbaijan"
"Samukh Rayon, Azerbaijan"
"Shaki City, Azerbaijan"
"Shaki Rayon, Azerbaijan"
"Shamakhi Rayon, Azerbaijan"
"Shamkir Rayon, Azerbaijan"
"Siazan Rayon, Azerbaijan"
"Sumqayit City, Azerbaijan"
"Tartar Rayon, Azerbaijan"
"Tovuz Rayon, Azerbaijan"
"Ujar Rayon, Azerbaijan"
"Xank?ndi ??h?ri, Azerbaijan"
"Xocal? Rayonu, Azerbaijan"
"Xocav?nd Rayonu, Azerbaijan"
"Yardymli Rayon, Azerbaijan"
"Yevlakh Rayon, Azerbaijan"
"Yevlax City, Azerbaijan"
"Zangilan Rayon, Azerbaijan"
"Zaqatala Rayon, Azerbaijan"
"Zardab Rayon, Azerbaijan"
"?u?a Rayonu, Azerbaijan"
"?u?a ??h?ri, Azerbaijan"
"Capital Governorate, Bahrain"
"Central Governorate, Bahrain"
"Muharraq, Bahrain"
"Northern Governorate, Bahrain"
"Southern Governorate, Bahrain"
"Borishal, Bangladesh"
"Chittagong, Bangladesh"
"Dhaka Division, Bangladesh"
"Khulna Division, Bangladesh"
"Rangpur Division, Bangladesh"
"R?jsh?hi Division, Bangladesh"
"Sylhet Division, Bangladesh"
"Bumthang Dzongkhag, Bhutan"
"Chhukha Dzongkhag, Bhutan"
"Dagana Dzongkhag, Bhutan"
"Gasa, Bhutan"
"Haa Dzongkhag, Bhutan"
"Lhuentse Dzongkhag, Bhutan"
"Mongar Dzongkhag, Bhutan"
"Paro, Bhutan"
"Pemagatshel Dzongkhag, Bhutan"
"Punakha Dzongkhag, Bhutan"
"Samdrup Jongkhar, Bhutan"
"Samtse Dzongkhag, Bhutan"
"Sarpang Dzongkhag, Bhutan"
"Thimphu Dzongkhag, Bhutan"
"Trashi Yangste, Bhutan"
"Trashigang Dzongkhag, Bhutan"
"Trongsa Dzongkhag, Bhutan"
"Tsirang Dzongkhag, Bhutan"
"Wangdue Phodrang Dzongkhag, Bhutan"
"Zhemgang Dzongkhag, Bhutan"
"British Indian Ocean Territory (general), British Indian Ocean Territory"
"Belait District, Brunei"
"Brunei and Muara District, Brunei"
"Temburong District, Brunei"
"Tutong District, Brunei"
"Khétt Bântéay Méan Cho?y, Cambodia"
"Khétt B?tdâmbâng, Cambodia"
"Khétt Kaôh K?ng, Cambodia"
"Khétt Krâchéh, Cambodia"
"Khétt Kâmpóng Cham, Cambodia"
"Khétt Kâmpóng Chhn?ng, Cambodia"
"Khétt Kâmpóng Spœ, Cambodia"
"Khétt Kâmpóng Thum, Cambodia"
"Khétt Kâmpôt, Cambodia"
"Khétt Kândal, Cambodia"
"Khétt Kêb, Cambodia"
"Khétt Môndôl Kiri, Cambodia"
"Khétt Pail?n, Cambodia"
"Khétt Po?th?s?t, Cambodia"
"Khétt Prey Vêng, Cambodia"
