ALABAMA,LATITUDE,LONGITUDE
Alexander City,32,57,85,57
Anniston AP,33,35,85,51
Auburn,32,36,85,30
Birmingham AP,33,34,86,45
Decatur,34,37,86,59
Dothan AP,31,19,85,27
Florence AP,34,48,87,40
Gadsden,34,1,86,0
Huntsville AP,34,42,86,35
Mobile AP,30,41,88,15
Mobile Co,30,40,88,15
Montgomery AP,32,23,86,22
Selma-Craig AFB,32,20,87,59
Talladega,33,27,86,6
Tuscaloosa AP,33,13,87,37
ALASKA,LATITUDE,LONGITUDE,
Anchorage AP,61,10,150,1
Barrow (S),71,18,156,47
Fairbanks AP (S),64,49,147,52
Juneau AP,58,22,134,35
Kodiak,57,45,152,29
Nome AP,64,30,165,26
ARIZONA,LATITUDE,LONGITUDE,
Douglas AP,31,27,109,36
Flagstaff AP,35,8,111,40
Fort Huachuca AP (S),31,35,110,20
Kingman AP,35,12,114,1
Nogales,31,21,110,55
Phoenix AP (S),33,26,112,1
Prescott AP,34,39,112,26
Tucson AP (S),32,7,110,56
Winslow AP,35,1,110,44
Yuma AP,32,39,114,37
ARKANSAS,LATITUDE,LONGITUDE,
Blytheville AFB,35,57,89,57
Camden,33,36,92,49
El Dorado AP,33,13,92,49
Fayetteville AP,36,0,94,10
Fort Smith AP,35,20,94,22
Hot Springs,34,29,93,6
Jonesboro,35,50,90,42
Little Rock AP (S),34,44,92,14
Pine Bluff AP,34,18,92,5
Texarkana AP,33,27,93,59
CALIFORNIA,LATITUDE,LONGITUDE,
Bakersfield AP,35,25,119,3
Barstow AP,34,51,116,47
Blythe AP,33,37,114,43
Burbank AP,34,12,118,21
Chico,39,48,121,51
Concord,37,58,121,59
Covina,34,5,117,52
Crescent City AP,41,46,124,12
Downey,33,56,118,8
El Cajon,32,49,116,58
El Cerrito AP (S),32,49,115,40
Escondido,33,7,117,5
Eureka/Arcata AP,40,59,124,6
Fairfield-Trafis AFB,38,16,121,56
Fresno AP (S),36,46,119,43
Hamilton AFB,38,4,122,30
Laguna Beach,33,33,117,47
Livermore,37,42,121,57
"Lompoc Vandenberg AFB",34,43,120,34
Long Beach AP,33,49,118,9
Los Angeles AP (S),33,56,118,24
Los Angeles CO (S),34,3,118,14
Merced-Castle AFB,37,23,120,34
Modesto,37,39,121,0
Monterey,36,36,121,54
Napa,38,13,122,17
Needles AP,34,36,114,37
Oakland AP,37,49,122,19
Oceanside,33,14,117,25
Ontario,34,3,117,36
Oxnard,34,12,119,11
Palmdale AP,34,38,118,6
Palm Springs,33,49,116,32
Pasadena,34,9,118,9
Petaluma,38,14,122,38
Pomona Co,34,3,117,45
Redding AP,40,31,122,18
Redlands,34,3,117,11
Richmond,37,56,122,21
Riverside-March AFB (S),33,54,117,15
Sacramento AP,38,31,121,30
Salinas AP,36,40,121,36
"San Bernadino Norton AFB",34,8,117,16
San Diego AP,32,44,117,10
San Fernando,34,17,118,28
San Francisco AP,37,37,122,23
San Francisco Co,37,46,122,26
San Jose AP,37,22,121,56
San Louis Obispo,35,20,120,43
Santa Ana AP,33,45,117,52
Santa Barbara MAP,34,26,119,50
Santa Cruz,36,59,122,1
Santa Maria AP (S),34,54,120,27
Santa Monica CIC,34,1,118,29
Santa Paula,34,21,119,5
Santa Rosa,38,31,122,49
Stockton AP,37,54,121,15
Ukiah,39,9,123,12
Visalia,36,20,119,18
Yreka,41,43,122,38
Yuba City,39,8,121,36
